ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781162797.795762,5.8880908489227295,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,459368765,-1788,-21,-0.08967,-24,-0.057384,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162797.8963645,5.9886932373046875,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,454318678,-1789,-20,-0.0854,-19,-0.045429,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162797.9968286,6.089157342910767,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,449318839,-1788,-20,-0.0854,-21,-0.050211,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162798.097282,6.189610719680786,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,444268717,-1789,-22,-0.09394,-20,-0.04782,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162798.1973994,6.289728164672852,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,439268843,-1788,-22,-0.09394,-23,-0.054993,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162798.298167,6.390495777130127,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,434218776,-1788,-17,-0.07259,-20,-0.04782,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162798.3982425,6.4905712604522705,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,429218799,-1788,-20,-0.0854,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162798.4983413,6.590670108795166,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,424218994,-1788,-21,-0.08967,-16,-0.038256,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162798.5987802,6.69110894203186,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,419268748,-1788,-20,-0.0854,-21,-0.050211,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162798.6992548,6.79158353805542,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,414168925,-1788,-20,-0.0854,-17,-0.040647,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
